time,v
1361,7.8714105818006725
1362,6.967813173929851
1363,5.945005416870117
1364,4.862061606513129
1365,3.753760655721029
1366,2.680336104498969
1367,1.6959227455986872
1368,0.8538828955756294
1369,0.19989119635687935
1370,0.0
1371,0.0
1372,0.0
1373,0.0
1374,0.0
1375,0.0
1376,0.2719900343153212
1377,0.5798731909857856
1378,0.8685938517252604
1379,1.1105510923597548
1380,0.0
1381,0.0
1382,0.2419567108154297
1383,0.5396975411309136
1384,0.8446677525838217
1385,1.1557367112901475
1386,1.4459329181247287
1387,1.6997883054945204
1388,1.9402694702148438
1389,2.120041847229004
1390,2.281364334954156
1391,2.374607721964518
1392,2.4302201800876193
1393,2.4628459082709417
1394,2.4562750922309027
1395,2.4093511369493275
1396,2.34745290544298
1397,2.2623454199896917
1398,2.180447578430176
1399,2.0890394846598306
1400,2.0102082358466253
1401,1.9218709733751085
1402,1.8319945865207248
1403,1.7240752114189997
1404,1.6174226337009006
1405,1.5112935172186956
1406,1.4154805077446833
1407,1.352359453837077
1408,1.3190735710991754
1409,1.3023832109239366
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.016794204711914062
1417,0.022559695773654513
1418,0.05083507961697049
1419,0.08103370666503906
1420,0.14732572767469618
1421,0.2468109130859375
1422,0.38871129353841144
1423,0.6024975246853299
1424,0.8933454089694552
1425,1.2674230999416776
1426,1.7395581139458551
1427,2.2937292522854276
1428,2.9203722212049694
1429,3.602807786729601
1430,4.3176942401462135
1431,5.037837558322483
1432,5.748014979892307
1433,6.430119408501519
1434,7.080590989854601
1435,7.68399715423584
1436,8.229774898952908
1437,8.731862703959147
