GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Tue Feb 02 17:01:36 GMT+09:00 2021,02-2월-2021 17:01:39.775,127.04010033980012,37.56570744328201,0.0,3.0,55.0,0.0,2.99634337,-2.81198978,9.2164793,0.04764706,
Tue Feb 02 17:01:37 GMT+09:00 2021,02-2월-2021 17:01:40.775,127.04010033980012,37.56570744328201,0.0,3.5,55.0,0.0,3.12323618,-2.85747981,9.31823349,0.06229347,
Tue Feb 02 17:01:38 GMT+09:00 2021,02-2월-2021 17:01:41.775,127.04009329900146,37.56570719182491,0.59,3.0,55.0,184.1,3.00592017,-3.44765043,9.19253731,0.06565112,
Tue Feb 02 17:01:39 GMT+09:00 2021,02-2월-2021 17:01:42.775,127.04008458182216,37.56570459343493,0.79999995,3.5,55.0,183.1,3.17710567,-2.895787,9.31105042,0.06441265,
Tue Feb 02 17:01:40 GMT+09:00 2021,02-2월-2021 17:01:43.775,127.04008349217474,37.56569880992174,0.79999995,3.5,55.0,178.8,3.12802458,-3.27287364,9.1326828,0.05806619,
Tue Feb 02 17:01:41 GMT+09:00 2021,02-2월-2021 17:01:44.776,127.04008273780346,37.56569093093276,1.11,3.0,55.0,181.5,3.13999557,-2.9149406,9.38048267,0.07023436,
Tue Feb 02 17:01:42 GMT+09:00 2021,02-2월-2021 17:01:45.776,127.04008340835571,37.56568120792508,0.96999997,3.5,55.0,179.8,3.02148247,-2.48039293,9.47984123,0.0642826,
Tue Feb 02 17:01:43 GMT+09:00 2021,02-2월-2021 17:01:46.776,127.04008399508893,37.56567420903593,1.04,3.5,55.0,179.4,2.61446834,-2.45046544,9.47505283,0.05161947,
Tue Feb 02 17:01:44 GMT+09:00 2021,02-2월-2021 17:01:47.776,127.04008064232767,37.56566167809069,2.23,3.5,56.0,177.1,2.8933928,-2.41814375,9.60553741,0.0709042,
Tue Feb 02 17:01:45 GMT+09:00 2021,02-2월-2021 17:01:48.776,127.04008466564119,37.565644537098706,2.79,3.5,56.0,174.0,2.18231487,-3.50630832,9.44273186,0.06960136,
Tue Feb 02 17:01:46 GMT+09:00 2021,02-2월-2021 17:01:49.776,127.0400926284492,37.56561838556081,2.87,3.5,56.0,174.3,2.17393517,-3.44286203,9.40681839,0.06387717,
Tue Feb 02 17:01:47 GMT+09:00 2021,02-2월-2021 17:01:50.775,127.04010277055204,37.565592150203884,3.47,3.5,56.0,160.3,2.18231487,-4.24851084,9.02853489,0.0601874,
Tue Feb 02 17:01:48 GMT+09:00 2021,02-2월-2021 17:01:51.775,127.04011710360646,37.56556344218552,3.4199998,3.5,56.0,150.4,2.754529,-3.99352837,9.13627338,0.0734778,
Tue Feb 02 17:01:49 GMT+09:00 2021,02-2월-2021 17:01:52.775,127.04013319686055,37.565546594560146,2.1,3.5,56.0,139.5,2.8921957,-4.15513706,8.73285103,0.04796928,
